24253;2.6
24328;2.9
24421;3.6
24515;4.5
24532;5.4
24562;6.5
24579;7.2
24595;8.4
24625;9.6
24673;10.9
24711;12.1
24730;13.2
24747;13.8
24787;14
24802;14
24858;14
24874;13.8
24892;13.5
24921;13.3
24960;12.9
24977;12.4
24994;11.9
25052;11.5
25078;11.1
25097;10.6
25129;10.4
25147;10.1
25164;9.8
25189;9.5
25213;9.3
25245;8.9
25264;8.6
25336;8.3
25390;8
25446;7.7
25502;7.5
25523;7.2
25555;7
25586;6.9
25669;6.7
25685;6.6
25701;6.5
25755;6.3
25766;6.1
25778;5.6
25845;5.3
25911;4.9
25926;4.6
26011;4.3
26104;4.1
26139;3.9
26196;4.1
26253;4.4
26323;5
26385;5.8
26448;6.6
26471;7.2
26504;7.7
26524;8
26577;8.2
26624;8.4
26637;8.7
26670;9.4
26767;10.1
26864;11
26921;11.9
26952;12.7
27019;13.2
27030;13.4
27090;13.6
27137;13.6
27152;13.7
27174;13.8
27245;13.9
27316;14.1
27341;14.3
27378;14.6
27419;14.8
27448;15
27464;15.1
27482;15.1
27501;15.1
27540;15
27622;15
27650;15.1
27660;15.1
27682;15.1
27752;15
27762;14.8
27782;14.4
27804;13.8
27854;13
27885;11.8
27939;10.4
28027;8.9
28116;7.4
28205;6.2
28293;5.5
28305;5.2
28323;5.6
28336;6.1
28391;6.7
28424;7.4
28438;8.3
28466;9
28520;9.7
28574;10.4
28614;11.5
28628;12.6
28691;13.5
28703;14.4
28713;15.4
28726;16
28740;16.7
28756;17.6
28789;18.9
28818;20.4
28877;21.9
28936;23
28947;24
28958;24.4
28968;24.5
28993;24.5
29055;24.5
29081;24.3
29105;24.1
29154;23.9
29191;23.7
29211;23.4
29238;23.3
29252;23.2
29265;23.1
29280;22.9
29312;22.7
29355;22.2
29414;21.6
29513;21.1
29574;20.5
29624;19.9
29697;19.6
29756;19.2
29815;18.9
29850;18.4
29923;18.1
29971;17.7
29984;17.4
30025;17.2
30048;16.9
30062;16.3
30113;15.9
30164;15.3
30174;14.7
30192;14.2
30202;13.9
30214;13.3
30228;12.6
30276;11.5
30312;10.4
30408;9.3
30439;8.5
30457;8
